,Method,Dataset,Rand Index,Silhouette Score,Davies Bouldin Score,Time,Rand Score with initial clustering,Threshold
0,kmeans,Moons,"(0.6221293199554069, 0.004983277591973256)","(0.49052457421111456, 0.00040330892914430263)","(np.float64(0.7761241811170755), np.float64(0.0002451625373445676))","(0.012752630014438182, 0.029781233671414734)",,"(0.2, 0.2)"
1,dbscan,Moons,"(1.0, 0.0)","(0.32852366494598184, 4.965068306494546e-17)","(np.float64(1.1627680823719255), np.float64(4.3284461991572713e-16))","(0.0022758500068448483, 0.0002597579615284873)",,"(0.2, 0.2)"
2,LP (Balanced) Heuristic starting with everyone alone,Moons,"(0.6415473801560758, 2.6755852842819112e-05)","(0.506160531421793, 0.0007873706547081156)","(np.float64(0.5969777555408863), np.float64(0.0035202057281663707))","(4.412564229988493, 0.34888565869484484)",,"(0.2, 0.2)"
3,LP (Balanced) Heuristic starting with predicted number of clusters,Moons,"(0.8804102564102564, 0.09094314381270904)","(0.392155324251943, 0.03190480169977983)","(np.float64(0.9861594181833867), np.float64(0.0689959207832977))","(0.3514109799871221, 0.027114208296147364)",,"(0.2, 0.2)"
4,LP (Balanced) Heuristic starting with the output of k-means,Moons,"(0.6075808249721293, 0.0)","(0.4878697293512825, 7.447602459741819e-17)","(np.float64(0.7791716558334936), np.float64(2.603703785810335e-16))","(0.33561204000143335, 0.018180830091041548)","(np.float64(0.4994002229654404), np.float64(0.0014105256175340418))","(0.2, 0.2)"
5,LP (Balanced) Heuristic starting with the output of dbscan,Moons,"(0.6075808249721293, 0.0)","(0.4878697293512825, 7.447602459741819e-17)","(np.float64(0.7791716558334936), np.float64(2.603703785810335e-16))","(0.34666892000241206, 0.04198025568134069)","(np.float64(0.5007714604236344), np.float64(0.0023855259917385757))","(0.2, 0.2)"
6,LP (Friend-Oriented) Heuristic starting with everyone alone,Moons,"(0.6415384615384615, 0.0)","(0.5064229883066956, 1.0532500405730103e-16)","(np.float64(0.5958043536314975), np.float64(1.8242825833464354e-16))","(4.386132340005133, 0.129950906927377)",,"(0.2, 0.2)"
7,LP (Friend-Oriented) Heuristic starting with predicted number of clusters,Moons,"(0.8804102564102564, 0.09094314381270904)","(0.392155324251943, 0.031904801699779856)","(np.float64(0.9861594181833864), np.float64(0.0689959207832977))","(0.3265895600197837, 0.014771839794958375)",,"(0.2, 0.2)"
8,LP (Friend-Oriented) Heuristic starting with the output of k-means,Moons,"(0.613913043478261, 1.1102230246251565e-16)","(0.4893303772888594, 4.2998752849492583e-17)","(np.float64(0.7773480885865499), np.float64(2.016820280180126e-16))","(0.3317019700072706, 0.01730053750705724)","(np.float64(0.4992842809364548), np.float64(0.00099275722242747))","(0.2, 0.2)"
9,LP (Friend-Oriented) Heuristic starting with the output of dbscan,Moons,"(0.613913043478261, 1.1102230246251565e-16)","(0.4893303772888594, 4.2998752849492583e-17)","(np.float64(0.7773480885865499), np.float64(2.016820280180126e-16))","(0.3380061100004241, 0.022671169456136394)","(np.float64(0.5011014492753623), np.float64(0.0031866933368547828))","(0.2, 0.2)"
10,LP (Enemy-Averse) Heuristic starting with everyone alone,Moons,"(0.6408004459308807, 0.00044620392978223856)","(0.4525106937093219, 0.025758054904459024)","(np.float64(0.5796211212799294), np.float64(0.014009322545804016))","(4.1415351700154135, 0.13929827074706227)",,"(0.2, 0.2)"
11,LP (Enemy-Averse) Heuristic starting with predicted number of clusters,Moons,"(0.7800602006688964, 0.16201773315499504)","(0.3715914939748225, 0.08516201159416173)","(np.float64(1.205348631678156), np.float64(0.5249635066580114))","(0.32769170999526975, 0.018551822333897804)",,"(0.2, 0.2)"
12,LP (Enemy-Averse) Heuristic starting with the output of k-means,Moons,"(0.6075808249721293, 0.0)","(0.4878697293512825, 5.551115123125783e-17)","(np.float64(0.7791716558334933), np.float64(1.790180836524724e-16))","(0.33632747002411634, 0.016776634944948406)","(np.float64(0.49964994425863996), np.float64(0.0012611272995416724))","(0.2, 0.2)"
13,LP (Enemy-Averse) Heuristic starting with the output of dbscan,Moons,"(0.6075808249721293, 0.0)","(0.4878697293512825, 5.551115123125783e-17)","(np.float64(0.7791716558334933), np.float64(1.790180836524724e-16))","(0.3362022800021805, 0.01682987563523017)","(np.float64(0.5007001114827202), np.float64(0.001918311514399932))","(0.2, 0.2)"
14,kmeans,3 Circles,"(0.763839464882943, 0.01338684503901897)","(0.399002432028564, 0.011486759215185029)","(np.float64(0.9025464231123322), np.float64(0.03248369802883377))","(0.003073069965466857, 0.00035353735133837827)",,"(0.2, 0.2)"
15,dbscan,3 Circles,"(0.3311036789297659, 0.0)","(nan, 0.0)",,"(0.0024509399547241626, 0.00018524611501476192)",,"(0.2, 0.2)"
16,LP (Balanced) Heuristic starting with everyone alone,3 Circles,"(0.7129988851727982, 0.0042364959193326975)","(0.3441183583874625, 0.05142325330267927)","(np.float64(0.7502684287190344), np.float64(0.030286882524028218))","(4.371790290018543, 0.190701147910358)",,"(0.2, 0.2)"
