Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
KMeans,Moons,-,-,,,10,0.47896884177846866,5.551115123125783e-17,0.4879604640613248,1.137640067256873e-16,0.3066623399965465,0.6597018578210712,,,,,,,,
DBSCAN,Moons,-,-,,,10,0.9933554078979533,0.0,0.017502488854272115,1.508311886450353e-17,0.004284429992549121,0.0013623686773370336,,,,,,,,
KMeans,3 Circles,-,-,,,10,0.44427827189302505,0.001412614165912235,0.40986816970203555,0.0035944331095293346,0.09398066000430845,0.024625825510106048,,,,,,,,
DBSCAN,3 Circles,-,-,,,10,0.18716667220567862,0.0004282094211906041,0.1265458073088476,0.0005786473630675606,0.003913619992090389,0.0007070951140661754,,,,,,,,
KMeans,Cancer,-,-,,,10,0.6673014390286682,0.006838417318825174,0.34465565222090827,0.0006367057650650626,0.08461938999244012,0.012878699641167703,,,,,,,,
DBSCAN,Cancer,-,-,,,10,0.0,0.0,,,0.0073613799933809785,0.0017080207223179004,,,,,,,,
KMeans,Iris,-,-,,,10,0.6173549250167925,0.008340767610736223,0.4602576189139381,0.0009281391262555301,0.07268355999258347,0.022559854676208982,,,,,,,,
DBSCAN,Iris,-,-,,,10,0.0,0.0,,,0.0029363100067712365,0.0008881069694285322,,,,,,,,
LocPop,Moons,B,S,0.4,0.4,10,0.29776753951073787,0.005695100930181253,0.38889638275579436,0.001231336716812271,0.07643161000451074,0.010860592186819153,369.3,22.614375958668415,1.0,0.0,4.0,0.0,0.0,0.0
LocPop,Moons,B,P,0.4,0.4,10,0.30425887805597784,0.004459516093323666,0.3901045220815259,0.001379139931295773,0.03729850000236183,0.0033540792663023103,270.2,16.4730082255792,1.0,0.0,4.0,0.0,0.0008110532115724615,0.003208593690484692
LocPop,Moons,B,KM,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.01714904999244027,0.0023525690742716,86.5,1.02469507659596,1.0,0.0,4.0,0.0,0.5787134291187066,0.0
LocPop,Moons,B,D,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.02193748000427149,0.004288249430032768,123.0,0.0,1.0,0.0,4.0,0.0,0.3102430193656577,5.551115123125783e-17
LocPop,Moons,AF,S,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.0777342699933797,0.009473237077305761,374.2,25.506077707087776,1.0,0.0,4.0,0.0,0.0,0.0
LocPop,Moons,AF,P,0.4,0.4,10,0.3055016509656431,0.002895896738253334,0.3903732217820387,0.0012121766320375427,0.03840681001311168,0.003920076358849405,267.0,10.658330075579382,1.0,0.0,4.0,0.0,0.0003396481942739565,0.002878896448248895
LocPop,Moons,AF,KM,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.01945151000400074,0.007440508310741205,87.2,2.4,1.0,0.0,4.0,0.0,0.5787134291187066,0.0
LocPop,Moons,AF,D,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.024553609994472935,0.007990654180003913,123.0,0.0,1.0,0.0,4.0,0.0,0.3102430193656577,5.551115123125783e-17
LocPop,Moons,AE,S,0.4,0.4,10,0.3003498794490389,0.0074918506362940465,0.39045876491200265,0.0003901005280634995,0.0821104399918113,0.021461668571533664,358.3,18.973929482318628,1.0,0.0,4.0,0.0,0.0,0.0
