Dataset,Beta Friend,Beta Enemy,Seconds,Friend Edges,Enemy Edges
Moons,0.2,0.2,0.007371299958322197,6363,38487
Moons,0.25,0.35,0.0066553999786265194,8257,29937
Moons,0.4,0.4,0.007547699962742627,18141,26709
3 Circles,0.2,0.2,0.00672649999614805,10306,34544
3 Circles,0.25,0.35,0.004781599971465766,14891,20191
3 Circles,0.4,0.4,0.00555750000057742,28690,16160
Cancer,0.2,0.2,0.0331929000094533,58721,102875
Cancer,0.25,0.35,0.027374500001315027,87686,31496
Cancer,0.4,0.4,0.02896059997146949,142284,19312
Iris,0.2,0.2,0.0016695999656803906,2705,8470
Iris,0.25,0.35,0.001615600020159036,3657,6064
Iris,0.4,0.4,0.0014854000182822347,5873,5302
