Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
KMeans,Moons,-,-,,,10,0.47896884177846866,5.551115123125783e-17,0.4879604640613248,1.137640067256873e-16,0.3066623399965465,0.6597018578210712,,,,,,,,
DBSCAN,Moons,-,-,,,10,0.9933554078979533,0.0,0.017502488854272115,1.508311886450353e-17,0.004284429992549121,0.0013623686773370336,,,,,,,,
LocPop,Moons,B,S,0.2,0.2,10,0.22770948100273633,0.007743995244703871,0.46480842849742326,0.037800379285470476,0.13084042000118642,0.14677260623028784,364.8,9.239047569960878,1.0,0.0,10.2,0.4,0.0,0.0
LocPop,Moons,B,P,0.2,0.2,10,0.23066345285048356,0.005921500080351285,0.4381362789785991,0.055066934029470944,0.03976990999071859,0.0028762493450560245,303.3,15.231874474272693,1.0,0.0,10.6,0.8,0.001426108754947783,0.002191013704529055
LocPop,Moons,B,KM,0.2,0.2,10,0.2359481510754095,0.00020539933698595847,0.4658691820246033,0.0007149462543833826,0.0329770699958317,0.003127296574786721,237.2,4.237924020083418,1.0,0.0,10.0,0.0,0.18756062164105547,0.000942826616410437
LocPop,Moons,B,D,0.2,0.2,10,0.23599297288538246,0.00017928723989178995,0.46602519608786697,0.0006240562530546667,0.03289652999374084,0.003345176814367839,236.8,3.841874542459709,1.0,0.0,10.0,0.0,0.23850356549751392,0.00018111431705657434
LocPop,Moons,AF,S,0.2,0.2,10,0.237332947867114,0.009888122909532216,0.39854994465984916,0.07567769860342659,0.06889217001153156,0.016426159197023275,339.9,10.113851887386922,1.0,0.0,10.8,0.7483314773547883,0.0,0.0
LocPop,Moons,AF,P,0.2,0.2,10,0.24347359814769134,0.004887301034323736,0.4297335063648477,0.05546607283789492,0.04053033999516629,0.004754885175191006,291.3,10.57402477772773,1.0,0.0,9.9,1.0440306508910548,0.0016209647232614463,0.002633905135680707
LocPop,Moons,AF,KM,0.2,0.2,10,0.24017029559195766,0.0015609971491588725,0.4496872532259486,0.006480669904486936,0.03454164999420754,0.006959251133335828,222.0,3.492849839314596,1.0,0.0,10.0,0.0,0.18589965043527837,0.001552815259031247
LocPop,Moons,AF,D,0.2,0.2,10,0.24017029559195766,0.0015609971491588725,0.4496872532259486,0.006480669904486936,0.03242355000693351,0.0036728834672926556,221.6,3.5832945734337835,1.0,0.0,10.0,0.0,0.24272331686434154,0.0015768284651862313
LocPop,Moons,AE,S,0.2,0.2,10,0.21814373909153967,0.006534473299288602,0.45018050777128593,0.04294271617381095,0.0673135099816136,0.006344949729741508,371.9,14.095744038538724,1.0,0.0,11.0,0.6324555320336759,0.0,0.0
LocPop,Moons,AE,P,0.2,0.2,10,0.2256207358224922,0.006017047269541383,0.4258497284787567,0.04969574648080117,0.04634010999579914,0.013683785835781852,308.6,14.00142849854971,1.0,0.0,11.3,0.6403124237432849,0.0016820303746714967,0.0021817870352892677
LocPop,Moons,AE,KM,0.2,0.2,10,0.22648143928198702,0.003962574462555224,0.4475271665000955,0.006916524045534307,0.0351413199910894,0.0022317208158418146,244.1,4.253234063627347,1.0,0.0,11.0,0.0,0.18576608810423942,0.001565872681790037
LocPop,Moons,AE,D,0.2,0.2,10,0.22648143928198702,0.003962574462555224,0.4475271665000955,0.006916524045534307,0.03280872999457642,0.001547939805876988,243.8,3.841874542459709,1.0,0.0,11.0,0.0,0.2284449937664364,0.004003634386131239
