,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
0,Louvain (Mod),Karate Club,"(0.5101604278074865, 0.018945212485684756)","(0.43571522272820973, 0.011186273157693806)","(0.011486029999286985, 0.0035874594169642195)",,"(0.4, 0.4)"
1,Leiden (Mod),Karate Club,"(0.5119429590017825, 0.02424242424242424)","(0.4426509997938569, 0.00281227273885421)","(0.020824280000306318, 0.0035283044936698415)",,"(0.4, 0.4)"
2,LP (Balanced) Heuristic starting with everyone alone,Karate Club,"(0.7393939393939395, 0.04171122994652405)","(0.25872266261876653, 0.014066453027491975)","(0.01595044000168855, 0.002592837147136299)",,"(0.4, 0.4)"
3,LP (Balanced) Heuristic starting with predicted number of clusters,Karate Club,"(0.8288770053475936, 0.08556149732620319)","(0.3105695170630235, 0.04043402484960929)","(0.0035075800005870406, 0.0008171411683965391)",,"(0.4, 0.4)"
4,LP (Balanced) Heuristic starting with the output of leiden,Karate Club,"(0.7532976827094474, 0.05561497326203209)","(0.26341148029459716, 0.018755270703322637)","(0.028728079999928012, 0.004927323189702444)","(0.5290552584670232, 0.010659476925294857)","(0.4, 0.4)"
5,LP (Friend-Oriented) Heuristic starting with everyone alone,Karate Club,"(0.7811051693404634, 0.06811415327525415)","(0.27278911564625846, 0.02297042160545532)","(0.016869530000622034, 0.003327820009878941)",,"(0.4, 0.4)"
6,LP (Friend-Oriented) Heuristic starting with predicted number of clusters,Karate Club,"(0.8288770053475936, 0.08556149732620319)","(0.3105695170630235, 0.04043402484960929)","(0.0035963799975434084, 0.000905555116858008)",,"(0.4, 0.4)"
7,LP (Friend-Oriented) Heuristic starting with the output of leiden,Karate Club,"(0.7950089126559714, 0.06951871657754011)","(0.27747793332208914, 0.023444088379153294)","(0.025579459999062238, 0.004566598407567981)","(0.5436720142602495, 0.02264586447509056)","(0.4, 0.4)"
8,LP (Enemy-Averse) Heuristic starting with everyone alone,Karate Club,"(0.7811051693404634, 0.06811415327525415)","(0.27278911564625846, 0.02297042160545532)","(0.014911230000507203, 0.0020411341272781793)",,"(0.4, 0.4)"
9,LP (Enemy-Averse) Heuristic starting with predicted number of clusters,Karate Club,"(0.8502673796791445, 0.09802300951777196)","(0.32067802327542577, 0.046322994881265005)","(0.0034805100007361035, 0.0007814490560392141)",,"(0.4, 0.4)"
10,LP (Enemy-Averse) Heuristic starting with the output of leiden,Karate Club,"(0.7672014260249554, 0.06371495618655179)","(0.2681002979704278, 0.021486861919340905)","(0.024121210001248984, 0.004108597740466634)","(0.538680926916221, 0.01746152855081419)","(0.4, 0.4)"
11,Louvain (Mod),Cora,"(0.7852095529997997, 0.0017998955476621302)","(0.8141415904005573, 0.0017206061553568745)","(2.8897238499990636, 0.33444808473645105)",,"(0.4, 0.4)"
12,Leiden (Mod),Cora,"(0.8013565410318126, 0.001239364345409396)","(0.7974079221075536, 0.0038531318356132475)","(5.196539830000984, 0.4846866045362938)",,"(0.4, 0.4)"
13,LP (Balanced) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.37878687510197045, 0.00024686863427097176)","(0.14398127972561867, 0.0002264415240762539)","(36.901670159999775, 2.893235551450527)",,"(0.4, 0.4)"
14,LP (Balanced) Heuristic starting with predicted number of clusters,Cora,"(0.3804192478715121, 0.0001979526200828212)","(0.1445008458110991, 0.00020976765975827183)","(40.88518007000239, 3.7767723914336013)",,"(0.4, 0.4)"
15,LP (Balanced) Heuristic starting with the output of leiden,Cora,"(0.3864151095769543, 2.938475502940954e-07)","(0.14553970157320437, 8.681870783374982e-05)","(337.23030703000074, 26.25817782330245)","(0.33514404637247164, 0.0009066069530176012)","(0.4, 0.4)"
