Dataset,Beta Friend,Beta Enemy,Seconds,Friend Edges,Enemy Edges
Karate Club,0.2,0.2,0.026880100020207465,78,483
Karate Club,0.25,0.35,0.0021231999853625894,78,483
Karate Club,0.4,0.4,0.0015805999282747507,343,218
Cora,0.2,0.2,1.6060877999989316,172069,3493209
Cora,0.25,0.35,1.5070069999201223,503720,1873242
Cora,0.4,0.4,1.5652317999629304,2351210,1314068
Jazz,0.2,0.2,0.018261200049892068,2742,16761
Jazz,0.25,0.35,0.01481910003349185,2742,6109
Jazz,0.4,0.4,0.014838900067843497,13394,6109
Random-25,0.2,0.2,0.013036000076681376,1482,29643
Random-25,0.25,0.35,0.012921999907121062,3025,25218
Random-25,0.4,0.4,0.013094900059513748,10206,20919
