Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Modularity,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
Louvain,Karate Club,-,-,,,0,0.46459109844332386,0.44490358126721763,0.00676820008084178,,,,
Leiden,Karate Club,-,-,,,0,0.46459109844332386,0.44490358126721763,0.014983300003223121,,,,
LocPop,Karate Club,B,Ld,0.2,0.2,0,0.12551280629781572,0.2869979947902026,0.977480600005947,15.0,1.0,18.0,0.32180415735025086
LocPop,Karate Club,B,S,0.2,0.2,0,0.08750694058856191,0.24377354247484118,0.0007513000164180994,18.0,1.0,19.0,0.0
LocPop,Karate Club,B,P,0.2,0.2,0,0.11008767062479193,0.2563295290568018,0.0007325999904423952,30.0,1.0,18.0,-0.007102430362889801
LocPop,Karate Club,AF,Ld,0.2,0.2,0,0.1367767679006872,0.2948689117520287,0.0009345000144094229,14.0,1.0,17.0,0.34546033092914724
LocPop,Karate Club,AF,S,0.2,0.2,0,0.09523809523809523,0.2665992016641367,0.0008587000193074346,19.0,1.0,18.0,0.0
LocPop,Karate Club,AF,P,0.2,0.2,0,0.15478434416232398,0.2804951181574558,0.0007877999451011419,26.0,1.0,17.0,0.015744539305909747
LocPop,Karate Club,AE,Ld,0.2,0.2,0,0.09127248500999334,0.2625981522085418,0.000710400054231286,19.0,1.0,19.0,0.27674046412376635
LocPop,Karate Club,AE,S,0.2,0.2,0,0.08750694058856191,0.24377354247484118,0.0007115000626072288,18.0,1.0,19.0,0.0
LocPop,Karate Club,AE,P,0.2,0.2,0,0.10256410256410256,0.26318847098067877,0.0011244999477639794,32.0,1.0,18.0,-0.007326007326007326
LocPop,Karate Club,B,Ld,0.25,0.35,0,0.12551280629781572,0.2869979947902026,0.0009972999105229974,15.0,1.0,18.0,0.32180415735025086
LocPop,Karate Club,B,S,0.25,0.35,0,0.08750694058856191,0.24377354247484118,0.000753199914470315,18.0,1.0,19.0,0.0
LocPop,Karate Club,B,P,0.25,0.35,0,0.11008767062479193,0.2563295290568018,0.0007755000842735171,30.0,1.0,18.0,-0.007102430362889801
LocPop,Karate Club,AF,Ld,0.25,0.35,0,0.1367767679006872,0.2948689117520287,0.0009200000204145908,14.0,1.0,17.0,0.34546033092914724
LocPop,Karate Club,AF,S,0.25,0.35,0,0.09523809523809523,0.2665992016641367,0.0007080999203026295,19.0,1.0,18.0,0.0
LocPop,Karate Club,AF,P,0.25,0.35,0,0.15478434416232398,0.2804951181574558,0.000748799997381866,26.0,1.0,17.0,0.015744539305909747
LocPop,Karate Club,AE,Ld,0.25,0.35,0,0.09127248500999334,0.2625981522085418,0.0006890000076964498,19.0,1.0,19.0,0.27674046412376635
LocPop,Karate Club,AE,S,0.25,0.35,0,0.08750694058856191,0.24377354247484118,0.0007058000192046165,18.0,1.0,19.0,0.0
LocPop,Karate Club,AE,P,0.25,0.35,0,0.10256410256410256,0.26318847098067877,0.0008058999665081501,32.0,1.0,18.0,-0.007326007326007326
LocPop,Karate Club,B,Ld,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0007118999492377043,9.0,1.0,4.0,0.4751811670087547
LocPop,Karate Club,B,S,0.4,0.4,0,0.44844801389190364,0.25403384494293585,0.0007608000887557864,34.0,1.0,4.0,0.0
LocPop,Karate Club,B,P,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0006892998935654759,16.0,1.0,4.0,-0.01108213820078227
LocPop,Karate Club,AF,Ld,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0008290000259876251,9.0,1.0,4.0,0.4751811670087547
LocPop,Karate Club,AF,S,0.4,0.4,0,0.44844801389190364,0.25403384494293585,0.001213099923916161,34.0,1.0,4.0,0.0
LocPop,Karate Club,AF,P,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0007231999188661575,16.0,1.0,4.0,-0.01108213820078227
LocPop,Karate Club,AE,Ld,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0006632000440731645,9.0,1.0,4.0,0.4751811670087547
LocPop,Karate Club,AE,S,0.4,0.4,0,0.44844801389190364,0.25403384494293585,0.0007709000492468476,34.0,1.0,4.0,0.0
LocPop,Karate Club,AE,P,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0008315000450238585,16.0,1.0,4.0,-0.01108213820078227
Louvain,Karate Club,-,-,,,1,0.4292907180385289,0.4400873296977193,0.007116600056178868,,,,
Leiden,Karate Club,-,-,,,1,0.46459109844332386,0.44490358126721763,0.01277750008739531,,,,
LocPop,Karate Club,B,Ld,0.2,0.2,1,0.1328306907639428,0.3027117182961339,0.0008073999779298902,14.0,1.0,16.0,0.38182148855819326
LocPop,Karate Club,B,S,0.2,0.2,1,0.09127248500999334,0.2625981522085418,0.0007253000512719154,18.0,1.0,19.0,0.0
LocPop,Karate Club,B,P,0.2,0.2,1,0.12512479201331114,0.27988605910683834,0.000876000034622848,27.0,1.0,17.0,0.007986688851913478
LocPop,Karate Club,AF,Ld,0.2,0.2,1,0.15553339980059822,0.3393489627255861,0.0010639000684022903,12.0,1.0,15.0,0.44266666666666665
LocPop,Karate Club,AF,S,0.2,0.2,1,0.09900110987791343,0.27238057757538275,0.0009543999331071973,19.0,1.0,18.0,0.0
LocPop,Karate Club,AF,P,0.2,0.2,1,0.1440922190201729,0.3103296414984727,0.0007634999928995967,30.0,1.0,16.0,-0.0022168033695411215
LocPop,Karate Club,AE,Ld,0.2,0.2,1,0.10256410256410256,0.26318847098067877,0.0007035000016912818,17.0,1.0,18.0,0.30170846964740095
LocPop,Karate Club,AE,S,0.2,0.2,1,0.09127248500999334,0.2625981522085418,0.0009447999764233828,18.0,1.0,19.0,0.0
LocPop,Karate Club,AE,P,0.2,0.2,1,0.10256410256410256,0.26318847098067877,0.0007087000412866473,29.0,1.0,18.0,0.007326007326007326
LocPop,Karate Club,B,Ld,0.25,0.35,1,0.1328306907639428,0.3027117182961339,0.0006933000404387712,14.0,1.0,16.0,0.38182148855819326
LocPop,Karate Club,B,S,0.25,0.35,1,0.09127248500999334,0.2625981522085418,0.0009495000122115016,18.0,1.0,19.0,0.0
LocPop,Karate Club,B,P,0.25,0.35,1,0.12512479201331114,0.27988605910683834,0.0007108999416232109,27.0,1.0,17.0,0.007986688851913478
LocPop,Karate Club,AF,Ld,0.25,0.35,1,0.15553339980059822,0.3393489627255861,0.0006847999757155776,12.0,1.0,15.0,0.44266666666666665
LocPop,Karate Club,AF,S,0.25,0.35,1,0.09900110987791343,0.27238057757538275,0.0009692999301478267,19.0,1.0,18.0,0.0
LocPop,Karate Club,AF,P,0.25,0.35,1,0.1440922190201729,0.3103296414984727,0.0007949999999254942,30.0,1.0,16.0,-0.0022168033695411215
LocPop,Karate Club,AE,Ld,0.25,0.35,1,0.10256410256410256,0.26318847098067877,0.0006946000503376126,17.0,1.0,18.0,0.30170846964740095
LocPop,Karate Club,AE,S,0.25,0.35,1,0.09127248500999334,0.2625981522085418,0.0007014999864622951,18.0,1.0,19.0,0.0
LocPop,Karate Club,AE,P,0.25,0.35,1,0.10256410256410256,0.26318847098067877,0.0007348000071942806,29.0,1.0,18.0,0.007326007326007326
LocPop,Karate Club,B,Ld,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0007573999464511871,9.0,1.0,4.0,0.4751811670087547
LocPop,Karate Club,B,S,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0007775000995025039,36.0,1.0,4.0,0.0
LocPop,Karate Club,B,P,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0007235999219119549,17.0,1.0,4.0,-0.01108213820078227
LocPop,Karate Club,AF,Ld,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0006469000363722444,9.0,1.0,4.0,0.4751811670087547
LocPop,Karate Club,AF,S,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0010716000106185675,36.0,1.0,4.0,0.0
LocPop,Karate Club,AF,P,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0006961000617593527,17.0,1.0,4.0,-0.01108213820078227
