,Method,Dataset,Rand Index,Silhouette Score,Davies Bouldin Score,Time,Rand Score with initial clustering,Threshold
0,kmeans,Moons,"(0.6305239687848383, 0.0)","(0.48679565579268275, 0.0)","(np.float64(0.7842736939308604), np.float64(0.0))","(0.10465009999461472, 0.0)",,"(0.2, 0.2)"
1,dbscan,Moons,"(1.0, 0.0)","(0.3300330886149135, 0.0)","(np.float64(1.165971337521373), np.float64(0.0))","(0.0022957000182941556, 0.0)",,"(0.2, 0.2)"
2,LS (Balanced) Heuristic starting with everyone alone,Moons,"(0.6410479375696767, 0.0)","(0.5080574412371578, 0.0)","(np.float64(0.6020465232721324), np.float64(0.0))","(3.4614666999550536, 0.0)",,"(0.2, 0.2)"
3,LS (Balanced) Heuristic starting with predicted number of clusters,Moons,"(0.9168115942028986, 0.0)","(0.3805556216682727, 0.0)","(np.float64(1.0171035569709275), np.float64(0.0))","(0.3467056000372395, 0.0)",,"(0.2, 0.2)"
4,LS (Balanced) Heuristic starting with the output of k-means,Moons,"(0.6339799331103679, 0.0)","(0.487225542711692, 0.0)","(np.float64(0.784093083135743), np.float64(0.0))","(0.29539480002131313, 0.0)","(np.float64(0.4994202898550725), np.float64(0.0))","(0.2, 0.2)"
5,LS (Balanced) Heuristic starting with the output of dbscan,Moons,"(0.9168115942028986, 0.0)","(0.3805556216682727, 0.0)","(np.float64(1.0171035569709275), np.float64(0.0))","(0.2777172001078725, 0.0)","(np.float64(0.4983500557413601), np.float64(0.0))","(0.2, 0.2)"
6,LS (Friend-Oriented) Heuristic starting with everyone alone,Moons,"(0.6615384615384615, 0.0)","(0.3925210492280343, 0.0)","(np.float64(0.6010242044558414), np.float64(0.0))","(3.862016199971549, 0.0)",,"(0.2, 0.2)"
7,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Moons,"(0.6789297658862876, 0.0)","(0.470167510793358, 0.0)","(np.float64(0.7997989166301502), np.float64(0.0))","(0.2932336999801919, 0.0)",,"(0.2, 0.2)"
8,LS (Friend-Oriented) Heuristic starting with the output of k-means,Moons,"(0.6271125975473801, 0.0)","(0.48691640679297366, 0.0)","(np.float64(0.7837836689249895), np.float64(0.0))","(0.2976526999846101, 0.0)","(np.float64(0.5001337792642141), np.float64(0.0))","(0.2, 0.2)"
9,LS (Friend-Oriented) Heuristic starting with the output of dbscan,Moons,"(0.9168115942028986, 0.0)","(0.3805556216682728, 0.0)","(np.float64(1.0171035569709281), np.float64(0.0))","(0.27932950004469603, 0.0)","(np.float64(0.4983500557413601), np.float64(0.0))","(0.2, 0.2)"
10,LS (Enemy-Averse) Heuristic starting with everyone alone,Moons,"(0.5951616499442587, 0.0)","(0.37700675849941195, 0.0)","(np.float64(0.6176585606816135), np.float64(0.0))","(3.592557600000873, 0.0)",,"(0.2, 0.2)"
11,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Moons,"(0.9107246376811594, 0.0)","(0.3836979587593314, 0.0)","(np.float64(1.008905649599436), np.float64(0.0))","(0.30481709993910044, 0.0)",,"(0.2, 0.2)"
12,LS (Enemy-Averse) Heuristic starting with the output of k-means,Moons,"(0.6374804905239688, 0.0)","(0.4876998442802716, 0.0)","(np.float64(0.7838345970018754), np.float64(0.0))","(0.29865270003210753, 0.0)","(np.float64(0.4986845039018952), np.float64(0.0))","(0.2, 0.2)"
13,LS (Enemy-Averse) Heuristic starting with the output of dbscan,Moons,"(0.922943143812709, 0.0)","(0.3766795673427391, 0.0)","(np.float64(1.0271156263718977), np.float64(0.0))","(0.2818185000214726, 0.0)","(np.float64(0.4991304347826087), np.float64(0.0))","(0.2, 0.2)"
14,kmeans,3 Circles,"(0.7490969899665552, 0.0)","(0.372923474979313, 0.0)","(np.float64(0.9758819465084735), np.float64(0.0))","(0.002722300007008016, 0.0)",,"(0.2, 0.2)"
15,dbscan,3 Circles,"(0.3311036789297659, 0.0)","(nan, 0.0)",,"(0.002557600033469498, 0.0)",,"(0.2, 0.2)"
16,LS (Balanced) Heuristic starting with everyone alone,3 Circles,"(0.7103455964325529, 0.0)","(0.2535284457999968, 0.0)","(np.float64(0.6464928652140801), np.float64(0.0))","(3.9160472999792546, 0.0)",,"(0.2, 0.2)"
17,LS (Balanced) Heuristic starting with predicted number of clusters,3 Circles,"(0.7441248606465998, 0.0)","(0.3863026805308342, 0.0)","(np.float64(1.0240028709978342), np.float64(0.0))","(0.3212351000402123, 0.0)",,"(0.2, 0.2)"
18,LS (Balanced) Heuristic starting with the output of k-means,3 Circles,"(0.7457971014492754, 0.0)","(0.3678184051520169, 0.0)","(np.float64(1.0841599830318802), np.float64(0.0))","(0.318449700018391, 0.0)","(np.float64(0.5403790412486065), np.float64(0.0))","(0.2, 0.2)"
19,LS (Balanced) Heuristic starting with the output of dbscan,3 Circles,"(0.3311036789297659, 0.0)","(nan, 0.0)",,"(0.28686599992215633, 0.0)","(1.0, 0.0)","(0.2, 0.2)"
20,LS (Friend-Oriented) Heuristic starting with everyone alone,3 Circles,"(0.7106800445930881, 0.0)","(0.2510919095922018, 0.0)","(np.float64(0.6465945016133549), np.float64(0.0))","(4.068064699997194, 0.0)",,"(0.2, 0.2)"
21,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,3 Circles,"(0.7399108138238573, 0.0)","(0.3789926913736966, 0.0)","(np.float64(1.009681405150541), np.float64(0.0))","(0.33299969998188317, 0.0)",,"(0.2, 0.2)"
22,LS (Friend-Oriented) Heuristic starting with the output of k-means,3 Circles,"(0.7433890746934225, 0.0)","(0.38649309353441214, 0.0)","(np.float64(0.961658165729999), np.float64(0.0))","(0.3115002999547869, 0.0)","(np.float64(0.5387736900780379), np.float64(0.0))","(0.2, 0.2)"
23,LS (Friend-Oriented) Heuristic starting with the output of dbscan,3 Circles,"(0.3311036789297659, 0.0)","(nan, 0.0)",,"(0.29303539998363703, 0.0)","(1.0, 0.0)","(0.2, 0.2)"
24,LS (Enemy-Averse) Heuristic starting with everyone alone,3 Circles,"(0.6945373467112598, 0.0)","(0.1392984433942266, 0.0)","(np.float64(1.0823429489835013), np.float64(0.0))","(3.6164980999892578, 0.0)",,"(0.2, 0.2)"
25,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,3 Circles,"(0.6694091415830546, 0.0)","(0.1863908321055009, 0.0)","(np.float64(3.737046839823671), np.float64(0.0))","(0.3368666000897065, 0.0)",,"(0.2, 0.2)"
26,LS (Enemy-Averse) Heuristic starting with the output of k-means,3 Circles,"(0.7490969899665552, 0.0)","(0.37361875205976375, 0.0)","(np.float64(0.9792876066348191), np.float64(0.0))","(0.30482660001143813, 0.0)","(np.float64(0.5481382385730211), np.float64(0.0))","(0.2, 0.2)"
27,LS (Enemy-Averse) Heuristic starting with the output of dbscan,3 Circles,"(0.3311036789297659, 0.0)","(nan, 0.0)",,"(0.27616070001386106, 0.0)","(1.0, 0.0)","(0.2, 0.2)"
28,kmeans,Cancer,"(0.7503774845912028, 0.0)","(0.6972646156059465, 0.0)","(np.float64(0.5044035685410981), np.float64(0.0))","(0.003993100021034479, 0.0)",,"(0.2, 0.2)"
29,dbscan,Cancer,"(0.531646822941162, 0.0)","(nan, 0.0)",,"(0.003432700061239302, 0.0)",,"(0.2, 0.2)"
30,LS (Balanced) Heuristic starting with everyone alone,Cancer,"(0.6786616005346667, 0.0)","(0.6631966226400529, 0.0)","(np.float64(0.3826830356389538), np.float64(0.0))","(24.96125499997288, 0.0)",,"(0.2, 0.2)"
31,LS (Balanced) Heuristic starting with predicted number of clusters,Cancer,"(0.6811307210574519, 0.0)","(0.6964651337508779, 0.0)","(np.float64(0.4820846285602231), np.float64(0.0))","(1.0680777999805287, 0.0)",,"(0.2, 0.2)"
32,LS (Balanced) Heuristic starting with the output of k-means,Cancer,"(0.6811307210574519, 0.0)","(0.6964651337508779, 0.0)","(np.float64(0.4820846285602231), np.float64(0.0))","(1.0055430000647902, 0.0)","(np.float64(0.5520681204980321), np.float64(0.0))","(0.2, 0.2)"
33,LS (Balanced) Heuristic starting with the output of dbscan,Cancer,"(0.531646822941162, 0.0)","(nan, 0.0)",,"(0.9857404000358656, 0.0)","(1.0, 0.0)","(0.2, 0.2)"
34,LS (Friend-Oriented) Heuristic starting with everyone alone,Cancer,"(0.6665078343523354, 0.0)","(0.6606328598747511, 0.0)","(np.float64(0.425830589289363), np.float64(0.0))","(28.61511899996549, 0.0)",,"(0.2, 0.2)"
35,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Cancer,"(0.5679967325923909, 0.0)","(0.645096514299456, 0.0)","(np.float64(0.5254585178664666), np.float64(0.0))","(1.0528573000337929, 0.0)",,"(0.2, 0.2)"
36,LS (Friend-Oriented) Heuristic starting with the output of k-means,Cancer,"(0.6811307210574519, 0.0)","(0.6964651337508779, 0.0)","(np.float64(0.4820846285602225), np.float64(0.0))","(1.0100329000269994, 0.0)","(np.float64(0.5520681204980321), np.float64(0.0))","(0.2, 0.2)"
37,LS (Friend-Oriented) Heuristic starting with the output of dbscan,Cancer,"(0.531646822941162, 0.0)","(nan, 0.0)",,"(1.0000059000449255, 0.0)","(1.0, 0.0)","(0.2, 0.2)"
38,LS (Enemy-Averse) Heuristic starting with everyone alone,Cancer,"(0.7634780563875343, 0.0)","(0.13495345439146755, 0.0)","(np.float64(0.6338208297315597), np.float64(0.0))","(25.308387400000356, 0.0)",,"(0.2, 0.2)"
39,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Cancer,"(0.71667615535038, 0.0)","(0.6883409290429452, 0.0)","(np.float64(0.5023001705130654), np.float64(0.0))","(1.0540907999966294, 0.0)",,"(0.2, 0.2)"
40,LS (Enemy-Averse) Heuristic starting with the output of k-means,Cancer,"(0.7503774845912028, 0.0)","(0.6972646156059465, 0.0)","(np.float64(0.5044035685410992), np.float64(0.0))","(1.0099073000019416, 0.0)","(np.float64(0.5372533973613208), np.float64(0.0))","(0.2, 0.2)"
41,LS (Enemy-Averse) Heuristic starting with the output of dbscan,Cancer,"(0.531646822941162, 0.0)","(nan, 0.0)",,"(0.9859004999743775, 0.0)","(1.0, 0.0)","(0.2, 0.2)"
42,kmeans,Iris,"(0.8737360178970918, 0.0)","(0.551191604619592, 0.0)","(np.float64(0.6660385791628493), np.float64(0.0))","(0.0022299999836832285, 0.0)",,"(0.2, 0.2)"
43,dbscan,Iris,"(0.42451901565995526, 0.0)","(0.18256428323870064, 0.0)","(np.float64(0.6275995822540165), np.float64(0.0))","(0.0014724000357091427, 0.0)",,"(0.2, 0.2)"
44,LS (Balanced) Heuristic starting with everyone alone,Iris,"(0.7942729306487696, 0.0)","(0.44089403315252107, 0.0)","(np.float64(0.6945763445749686), np.float64(0.0))","(0.4960549999959767, 0.0)",,"(0.2, 0.2)"
45,LS (Balanced) Heuristic starting with predicted number of clusters,Iris,"(0.7835346756152125, 0.0)","(0.49538276240859225, 0.0)","(np.float64(2.2136177965127), np.float64(0.0))","(0.08081710000988096, 0.0)",,"(0.2, 0.2)"
46,LS (Balanced) Heuristic starting with the output of k-means,Iris,"(0.8797315436241611, 0.0)","(0.549517512647162, 0.0)","(np.float64(0.6692465823103282), np.float64(0.0))","(0.09117400005925447, 0.0)","(np.float64(0.5471140939597315), np.float64(0.0))","(0.2, 0.2)"
47,LS (Balanced) Heuristic starting with the output of dbscan,Iris,"(0.7835346756152125, 0.0)","(0.49538276240859225, 0.0)","(np.float64(2.2136177965127), np.float64(0.0))","(0.081493099918589, 0.0)","(np.float64(0.4344519015659955), np.float64(0.0))","(0.2, 0.2)"
48,LS (Friend-Oriented) Heuristic starting with everyone alone,Iris,"(0.7934675615212528, 0.0)","(0.42965057335895607, 0.0)","(np.float64(0.6903431743958346), np.float64(0.0))","(0.47135510004591197, 0.0)",,"(0.2, 0.2)"
49,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Iris,"(0.8679194630872483, 0.0)","(0.5089618962030399, 0.0)","(np.float64(0.7447498027349325), np.float64(0.0))","(0.07848300004843622, 0.0)",,"(0.2, 0.2)"
50,LS (Friend-Oriented) Heuristic starting with the output of k-means,Iris,"(0.8797315436241611, 0.0)","(0.5528190123564095, 0.0)","(np.float64(0.6619715465007489), np.float64(0.0))","(0.07797149999532849, 0.0)","(np.float64(0.5465771812080537), np.float64(0.0))","(0.2, 0.2)"
