Dataset,Beta Friend,Beta Enemy,Seconds,Friend Edges,Enemy Edges
Moons,0.2,0.2,0.010663599940016866,6363,38487
Moons,0.25,0.35,0.005992699996568263,8257,29937
Moons,0.4,0.4,0.0062692000064998865,18141,26709
3 Circles,0.2,0.2,0.005221799947321415,10306,34544
3 Circles,0.25,0.35,0.004291899967938662,14891,20191
3 Circles,0.4,0.4,0.004520899965427816,28690,16160
Cancer,0.2,0.2,0.027526299934834242,58721,102875
Cancer,0.25,0.35,0.02554740000050515,87686,31496
Cancer,0.4,0.4,0.017200700007379055,142284,19312
Iris,0.2,0.2,0.001597000053152442,2705,8470
Iris,0.25,0.35,0.0013141999952495098,3657,6064
Iris,0.4,0.4,0.0013822000473737717,5873,5302
