Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
KMeans,Moons,-,-,,,10,0.47896884177846866,5.551115123125783e-17,0.4879604640613248,1.137640067256873e-16,0.5009161100024357,1.046425152425597,,,,,,,,
DBSCAN,Moons,-,-,,,10,0.9933554078979533,0.0,0.017502488854272115,1.508311886450353e-17,0.004248210007790476,0.001606887392907423,,,,,,,,
LocStab,Moons,B,S,0.2,0.2,10,0.22770948100273633,0.007743995244703871,0.46480842849742326,0.037800379285470476,0.1286105400067754,0.12418953356665154,364.8,9.239047569960878,1.0,0.0,10.2,0.4,0.0,0.0
LocStab,Moons,B,P,0.2,0.2,10,0.23066345285048356,0.005921500080351285,0.4381362789785991,0.055066934029470944,0.0638169500278309,0.010912446571086863,303.3,15.231874474272693,1.0,0.0,10.6,0.8,0.001426108754947783,0.002191013704529055
LocStab,Moons,B,KM,0.2,0.2,10,0.2359481510754095,0.00020539933698595847,0.4658691820246033,0.0007149462543833826,0.05077681002439931,0.010155305268813572,237.2,4.237924020083418,1.0,0.0,10.0,0.0,0.18756062164105547,0.000942826616410437
LocStab,Moons,B,D,0.2,0.2,10,0.23599297288538246,0.00017928723989178995,0.46602519608786697,0.0006240562530546667,0.05437791999429464,0.00909875689441038,236.8,3.841874542459709,1.0,0.0,10.0,0.0,0.23850356549751392,0.00018111431705657434
LocStab,Moons,AF,S,0.2,0.2,10,0.26966378669507807,0.006296571517201822,0.28031149008185513,0.08681647842317745,0.07608847002265975,0.013733435354491971,289.4,1.9078784028338915,1.0,0.0,11.3,1.1874342087037917,0.0,0.0
LocStab,Moons,AF,P,0.2,0.2,10,0.5551439084895023,0.34484536625321005,-0.05935175730140765,0.15775966022280297,0.035854519985150546,0.006672713610805329,148.0,13.696714934611146,1.0,0.0,4.6,0.7999999999999999,0.0037478117278515652,0.0046457779956168045
LocStab,Moons,AF,KM,0.2,0.2,10,0.9340594648769773,0.15782116390753828,0.398572042674178,0.029363934044970695,0.015745539998169987,0.00718296630475477,40.7,12.9,1.0,0.0,2.0,0.0,0.5368022951183623,0.14553998098644935
LocStab,Moons,AF,D,0.2,0.2,10,0.9933554078979533,0.0,0.017502488854272115,1.508311886450353e-17,0.00880237000528723,0.0019870911350361596,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
LocStab,Moons,AE,S,0.2,0.2,10,0.137258545030594,0.004025630804809096,0.3020594200432632,0.05713916121932983,0.07448853999376297,0.014129912900180902,282.8,4.331281565541543,1.0,0.0,18.8,1.469693845669907,0.0,0.0
LocStab,Moons,AE,P,0.2,0.2,10,0.2196991171022981,0.009931465264226,0.3569549249559739,0.04932433937528424,0.06284410001244396,0.012900949927834008,293.6,13.893883546366725,1.0,0.0,12.2,0.6,0.0035268376355707945,0.003148387034547329
