Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Silhouette Score,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
KMeans,Moons,-,-,,,0,0.4789688417784687,0.4879604640613249,3.6373467999510467,,,,
DBSCAN,Moons,-,-,,,0,0.9933554078979533,0.01750248885427213,0.008699700003489852,,,,
LocStab,Moons,B,S,0.2,0.2,0,0.2287764943366603,0.46156555457510573,0.500206800061278,375.0,1.0,10.0,0.0
LocStab,Moons,B,P,0.2,0.2,0,0.23608261650532836,0.46633722421439433,0.059488500002771616,288.0,1.0,10.0,-0.0017613865491372272
LocStab,Moons,B,KM,0.2,0.2,0,0.23563439840559888,0.4647770835817577,0.053222900023683906,241.0,1.0,10.0,0.1861204301954155
LocStab,Moons,B,D,0.2,0.2,0,0.23563439840559888,0.4647770835817577,0.05820029997266829,239.0,1.0,10.0,0.23814133686340075
LocStab,Moons,AF,S,0.2,0.2,0,0.25956869821389084,0.22096340289845148,0.09608290006872267,289.0,1.0,12.0,0.0
LocStab,Moons,AF,P,0.2,0.2,0,0.9669093673018765,-0.10190822693690438,0.047364600002765656,137.0,1.0,5.0,0.006032315935611546
LocStab,Moons,AF,KM,0.2,0.2,0,0.9866665195128234,0.38878406465918774,0.017142799915745854,45.0,1.0,2.0,0.4882889681228791
LocStab,Moons,AF,D,0.2,0.2,0,0.9933554078979533,0.01750248885427213,0.008573000086471438,0.0,1.0,3.0,1.0
LocStab,Moons,AE,S,0.2,0.2,0,0.12838210871240807,0.25245260951586346,0.08740910002961755,279.0,1.0,21.0,0.0
LocStab,Moons,AE,P,0.2,0.2,0,0.22841790248487456,0.3621100967629811,0.07916449999902397,280.0,1.0,12.0,0.0021026528834395823
LocStab,Moons,AE,KM,0.2,0.2,0,0.22106658045708028,0.37986445865692053,0.06590030004736036,235.0,1.0,12.0,0.17906453952090082
LocStab,Moons,AE,D,0.2,0.2,0,0.22097692796313642,0.37625074997998126,0.06121119996532798,238.0,1.0,12.0,0.22333300142352452
LocStab,Moons,B,S,0.25,0.35,0,0.2993108640043106,0.46929190992122843,0.10843079991172999,316.0,1.0,5.0,0.0
LocStab,Moons,B,P,0.25,0.35,0,0.34086636038368073,0.49358565966992796,0.14577329996973276,371.0,1.0,6.0,-0.002240628428122637
LocStab,Moons,B,KM,0.25,0.35,0,0.30264266427180664,0.47045469082195446,0.04503809998277575,147.0,1.0,5.0,0.33532736296515675
LocStab,Moons,B,D,0.25,0.35,0,0.30264266427180664,0.47045469082195446,0.05277359997853637,157.0,1.0,5.0,0.3065415089088243
