,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
0,Louvain (Mod),Karate Club,"(0.5102495543672014, 0.017368248903658713)","(0.4423876988812054, 0.00227655337943887)","(0.005373199979658239, 0.0004963840428791558)",,"(0.4, 0.4)"
1,Leiden (Mod),Karate Club,"(0.5053475935828877, 0.00750993740924809)","(0.4387684825996514, 0.011094588865483191)","(0.010873362480197102, 0.0004972378416531761)",,"(0.4, 0.4)"
2,LS (Balanced) Heuristic starting with everyone alone,Karate Club,"(0.5049019607843137, 0.011051334017502013)","(0.2833389554168774, 0.02269964096486886)","(0.008421100006671622, 0.00022544032965063734)",,"(0.4, 0.4)"
3,LS (Balanced) Heuristic starting with predicted number of clusters,Karate Club,"(0.4991087344028521, 0.013219605146338081)","(0.3408950357002304, 0.05054253106201162)","(0.0018985500209964812, 5.161018821079544e-05)",,"(0.4, 0.4)"
4,LS (Balanced) Heuristic starting with the output of leiden,Karate Club,"(0.49910873440285203, 0.011131903740460608)","(0.25989486703772413, 0.015506806891464725)","(0.012607975018909201, 0.0009503112097301727)","(np.float64(0.535650623885918), np.float64(0.029973568129768677))","(0.4, 0.4)"
5,LS (Friend-Oriented) Heuristic starting with everyone alone,Karate Club,"(0.5, 0.008686982482004417)","(0.08372219411180448, 0.044376979441914544)","(0.008381162493606098, 0.0001845692644220615)",,"(0.4, 0.4)"
6,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Karate Club,"(0.49910873440285214, 0.018090715802303422)","(0.23727535091171445, 0.12659954790647143)","(0.0018802500126184896, 5.1166891552078065e-05)",,"(0.4, 0.4)"
7,LS (Friend-Oriented) Heuristic starting with the output of leiden,Karate Club,"(0.5075757575757576, 0.023542743211893577)","(0.2833389554168774, 0.022699640964868876)","(0.013018149984418415, 0.0005207469679016141)","(np.float64(0.5307486631016043), np.float64(0.0050220265907239894))","(0.4, 0.4)"
8,LS (Enemy-Averse) Heuristic starting with everyone alone,Karate Club,"(0.5075757575757576, 0.01839011611583187)","(0.2679531867843556, 0.0384445722510322)","(0.008258687477791682, 0.0002620403327057066)",,"(0.4, 0.4)"
9,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Karate Club,"(0.5131461675579323, 0.035240933614155624)","(0.31310437398099733, 0.04954404756766144)","(0.001869837476988323, 5.206711196621603e-05)",,"(0.4, 0.4)"
