Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Modularity,Modularity SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
Louvain,Karate Club,-,-,,,10,0.43885452001718495,0.03485517961550936,0.4395344914825435,0.008083611030824936,0.006930490001104772,0.0012823159103784536,,,,,,,,
Leiden,Karate Club,-,-,,,10,0.4268858077274732,0.03795249673313366,0.44092314611795136,0.00606772596574057,0.014744850003626197,0.003025065223218994,,,,,,,,
Louvain,Cora,-,-,,,10,0.24188012622896266,0.015631764831962516,0.81479255120492,0.0007546989590943812,2.2653846199973486,0.14969542278188264,,,,,,,,
Leiden,Cora,-,-,,,10,0.14364997618019776,0.013803835277646911,0.798566500596397,0.0029970477357472124,4.310794519999763,0.2779921964955366,,,,,,,,
Louvain,Jazz,-,-,,,10,,,0.44164623058339336,0.0031657755474932218,0.18291593000176362,0.021622741575042806,,,,,,,,
Leiden,Jazz,-,-,,,10,,,0.44104946104069864,0.0045999462238818425,0.4006805399956647,0.041568495519885194,,,,,,,,
Louvain,Random-25,-,-,,,10,0.905060804022104,0.015098539297176364,0.8531175634186091,0.00024360950440662258,0.06354490999365225,0.004069665024479844,,,,,,,,
Leiden,Random-25,-,-,,,10,0.9070320373785282,0.004610980489875251,0.8533603602600227,8.428251594772177e-05,0.10745615999330767,0.005472295202128603,,,,,,,,
LocStab,Karate Club,B,Ld,0.4,0.4,10,0.615885072571103,0.13671178593216132,0.2821667509979198,0.02297042160545532,0.0007817999925464391,0.00010467030090777564,10.5,1.5,1.0,0.0,4.0,0.0,0.3966301864247813,0.06047532701978051
LocStab,Karate Club,B,S,0.4,0.4,10,0.5879788961245698,0.13953088223266616,0.27747793332208914,0.023444088379153294,0.0008897500112652779,0.00017483043193536508,35.5,1.02469507659596,1.0,0.0,4.0,0.0,0.0,0.0
LocStab,Karate Club,B,P,0.4,0.4,10,0.5600727196780365,0.13671178593216132,0.27278911564625846,0.02297042160545532,0.0008965400047600269,0.00019240056089634677,15.7,1.8466185312619388,1.0,0.0,4.0,0.0,0.01250724126230449,0.037090897647426985
LocStab,Karate Club,AF,Ld,0.4,0.4,10,0.6202490290401395,0.13190956518226749,0.2838702423118007,0.021398805818147702,0.0008612799982074648,0.00018851018573133715,10.4,1.2806248474865698,1.0,0.0,3.9,0.3,0.3990369033112751,0.05709121205441816
LocStab,Karate Club,AF,S,0.4,0.4,10,0.22328391981836188,0.013916339416894144,0.08372219411180448,0.044376979441914544,0.0009205100010149181,0.00015820939829076547,30.6,0.4898979485566356,1.0,0.0,3.5,0.5,0.0,0.0
LocStab,Karate Club,AF,P,0.4,0.4,10,0.32069857937251073,0.3120095937361979,0.1619291242667866,0.13852218516743,0.0009335000067949295,0.00027774537613466544,14.0,1.7320508075688772,1.0,0.0,2.6,0.48989794855663565,0.031187529198595233,0.03386185076313738
LocStab,Karate Club,AE,Ld,0.4,0.4,10,0.6501461797858447,0.09475067058270918,0.29775116658233536,0.003883488544807171,0.0008410099835600704,0.0001194013411549156,10.2,1.4,1.0,0.0,4.0,0.0,0.41850725150557244,0.045259122948813034
LocStab,Karate Club,AE,S,0.4,0.4,10,0.5377175566943023,0.1880300786782822,0.24704559509754312,0.0889105594354847,0.0009641399839892984,0.00014071667888478624,31.2,3.370459909270543,1.0,0.0,4.3,0.45825756949558405,0.0,0.0
LocStab,Karate Club,AE,P,0.4,0.4,10,0.5772032732854073,0.12664734449481535,0.2805813234384663,0.021868341153396833,0.0008497499977238477,0.000165680701352177,15.5,1.9621416870348585,1.0,0.0,4.0,0.0,0.018114430262083276,0.044501302390061344
LocStab,Cora,B,Ld,0.4,0.4,10,-0.0015403269978273787,7.300009367753163e-06,0.14559668487423258,9.26924624325474e-05,1.4175219399912748,0.08474577169334914,2079.0,30.977411124882597,1.0,0.0,118.0,0.4472135954999579,0.0208232134296751,0.0024020003373177072
LocStab,Cora,B,P,0.4,0.4,10,-0.0014002107318893382,2.4181834016828013e-05,0.14559496719062784,8.647100481790709e-05,0.7328139999939595,0.06530615197305684,2463.4,34.1238919234017,1.0,0.0,50.0,0.0,9.556116012552572e-05,7.1321816971064e-05
LocStab,Cora,AF,Ld,0.4,0.4,10,-0.0014356756711337722,4.03556894484535e-05,0.145689071842036,0.0001296004766858126,1.329889599996386,0.11268915354310377,2075.5,30.621071176560758,1.0,0.0,113.6,1.0198039027185568,0.021088032215614796,0.0024670431008430587
LocStab,Cora,AF,P,0.4,0.4,10,-0.002019273850114218,0.0012631629585146973,0.13044558292186703,0.0033319772889269677,0.6957748199987691,0.054205922798214734,2324.5,8.00312438988674,1.0,0.0,50.0,0.0,0.0007860984264069593,0.00016522189116841723
LocStab,Cora,AE,Ld,0.4,0.4,10,0.11321983497760246,0.018473683041972173,0.43763673623028004,0.018558387066598816,1.1202731000201311,0.13118881210878475,1646.2,128.30962551578114,1.0,0.0,124.8,1.7776388834631178,0.14422371554293054,0.03065552143672532
LocStab,Cora,AE,P,0.4,0.4,10,0.07007633730552669,0.020977989665583854,0.30314918353131626,0.02577377728609039,0.6603312799998093,0.06158213092187273,2181.2,36.176788138252405,1.0,0.0,50.0,0.0,0.03634155471204998,0.00660363319159363
LocStab,Jazz,B,Ld,0.4,0.4,10,,,0.0342180368485258,6.938893903907228e-18,0.009877149987732991,0.0011351780102495665,111.0,9.497368056467012,1.0,0.0,10.0,0.0,0.05846096952149007,0.02904615245617541
LocStab,Jazz,B,S,0.4,0.4,10,,,0.0342180368485258,6.938893903907228e-18,0.018785390007542445,0.0008616999222634115,193.8,6.4156059729381765,1.0,0.0,10.0,0.0,0.0,0.0
LocStab,Jazz,AF,Ld,0.4,0.4,10,,,0.03546039509672318,0.0011094206287265047,0.008582929999101907,0.0007031178381336852,100.0,8.854377448471462,1.0,0.0,4.0,1.0,0.08622783040076228,0.02895861869612694
LocStab,Jazz,AF,S,0.4,0.4,10,,,0.022172472030563252,0.007002823214919883,0.018257310008630158,0.0006128880242739373,188.7,1.0049875621120892,1.0,0.0,10.0,0.4472135954999579,0.0,0.0
LocStab,Jazz,AE,Ld,0.4,0.4,10,,,0.3870535450652544,0.005492924405441599,0.0053641100064851345,0.00043466249533496363,24.6,6.621178142898739,1.0,0.0,7.7,0.45825756949558405,0.7357481806575523,0.06531507637607951
LocStab,Jazz,AE,S,0.4,0.4,10,,,0.20021468860277042,0.057261400030910146,0.019318869995186106,0.0012245862859290725,195.3,16.401524319403975,1.0,0.0,15.6,0.66332495807108,0.0,0.0
LocStab,Random-25,B,Ld,0.4,0.4,10,0.21589573377423013,0.006615329688409478,0.6117559706119297,0.005205102275287379,0.020484750007744877,0.0005684820799101521,191.4,3.97994974842648,1.0,0.0,13.4,0.66332495807108,0.24122584821042414,0.009909157020845145
LocStab,Random-25,B,S,0.4,0.4,10,0.2049055012051427,0.018747705308570766,0.6076917222612035,0.024456124845615157,0.04400402999599464,0.0022656860092888534,323.3,27.48108440364026,1.0,0.0,12.3,1.268857754044952,0.0,0.0
LocStab,Random-25,B,P,0.4,0.4,10,0.2175934149764896,0.01678354231438842,0.6185221691336162,0.018526791762530862,0.028042960015591235,0.0015082728132911685,269.9,18.113254815189897,1.0,0.0,12.1,1.0440306508910548,-8.380745285055334e-05,0.0030924569085168307
LocStab,Random-25,AF,Ld,0.4,0.4,10,0.20503693962127922,0.00572882395492637,0.6142916012340317,0.007050310453217205,0.020279279997339472,0.00136268320439703,183.2,4.874423042781576,1.0,0.0,10.8,0.39999999999999997,0.23775504032882372,0.007292957935303783
LocStab,Random-25,AF,S,0.4,0.4,10,0.13986445784783189,0.014402611913049392,0.5176475065061387,0.020456846022461183,0.03700595999252983,0.0014685598847467315,244.6,5.180733538795447,1.0,0.0,11.9,0.9433981132056604,0.0,0.0
LocStab,Random-25,AF,P,0.4,0.4,10,0.17991121973222962,0.017019762481378584,0.5730350718923674,0.028112298439787447,0.0258926399925258,0.0018872188867120401,233.8,11.311940593903417,1.0,0.0,11.1,0.8306623862918073,0.003552283773361145,0.003398441405625534
LocStab,Random-25,AE,Ld,0.4,0.4,10,0.44024518892204056,0.026411390383307094,0.6715469203039788,0.015663888209203846,0.014116980013204739,0.0007786217246480945,108.7,10.198529305738155,1.0,0.0,16.9,0.8306623862918073,0.4987830513908501,0.03874204187726306
LocStab,Random-25,AE,S,0.4,0.4,10,0.35599371102794336,0.022346886952945268,0.5652280768188416,0.03094794211756692,0.036933520011371,0.0006648758349744578,244.5,6.48459713474939,1.0,0.0,21.3,1.2688577540449522,0.0,0.0
LocStab,Random-25,AE,P,0.4,0.4,10,0.31467693173741756,0.02055201199595423,0.5881018410237562,0.02256700674756642,0.025068029999965803,0.0009907509230023162,230.1,6.410148204214938,1.0,0.0,18.0,1.3416407864998738,0.006638175867644783,0.005048533813487356
