Dataset,Beta Friend,Beta Enemy,Seconds,Friend Edges,Enemy Edges
Karate Club,0.2,0.2,0.0020010999869555235,78,483
Karate Club,0.25,0.35,0.0009666999685578048,78,483
Karate Club,0.4,0.4,0.0012633000151254237,343,218
Cora,0.2,0.2,1.791765799978748,172069,3493209
Cora,0.25,0.35,1.5519031999865547,503720,1873242
Cora,0.4,0.4,1.633686100016348,2351210,1314068
Jazz,0.2,0.2,0.01985649997368455,2742,16761
Jazz,0.25,0.35,0.018107399984728545,2742,6109
Jazz,0.4,0.4,0.018510699970647693,13394,6109
Random-25,0.2,0.2,0.0151966999983415,1482,29643
Random-25,0.25,0.35,0.015125199977774173,3025,25218
Random-25,0.4,0.4,0.014287500001955777,10206,20919
