Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Modularity,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
Louvain,Karate Club,-,-,,,0,0.46459109844332386,0.44490358126721763,0.004963300016243011,,,,
Leiden,Karate Club,-,-,,,0,0.46459109844332386,0.44490358126721763,0.01498939999146387,,,,
LocStab,Karate Club,B,Ld,0.2,0.2,0,0.12551280629781572,0.2869979947902026,0.4854415000299923,15.0,1.0,18.0,0.32180415735025086
LocStab,Karate Club,B,S,0.2,0.2,0,0.08750694058856191,0.24377354247484118,0.0010147999855689704,18.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.2,0.2,0,0.11008767062479193,0.2563295290568018,0.0007328999927267432,30.0,1.0,18.0,-0.007102430362889801
LocStab,Karate Club,AF,Ld,0.2,0.2,0,0.46459109844332386,0.44490358126721763,0.000678999989759177,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.2,0.2,0,0.09523809523809523,0.2665992016641367,0.0007152000325731933,19.0,1.0,18.0,0.0
LocStab,Karate Club,AF,P,0.2,0.2,0,0.4478950246036085,0.3296883491688687,0.0007238000398501754,17.0,1.0,9.0,0.01487151448879169
LocStab,Karate Club,AE,Ld,0.2,0.2,0,0.09127248500999334,0.2625981522085418,0.0009530999814160168,19.0,1.0,19.0,0.27674046412376635
LocStab,Karate Club,AE,S,0.2,0.2,0,0.06866666666666667,0.20442832780495118,0.0007157999789342284,17.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.2,0.2,0,0.10256410256410256,0.26318847098067877,0.0007530000293627381,32.0,1.0,18.0,-0.007326007326007326
LocStab,Karate Club,B,Ld,0.25,0.35,0,0.12551280629781572,0.2869979947902026,0.0010353999678045511,15.0,1.0,18.0,0.32180415735025086
LocStab,Karate Club,B,S,0.25,0.35,0,0.08750694058856191,0.24377354247484118,0.0010024000075645745,18.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.25,0.35,0,0.11008767062479193,0.2563295290568018,0.0010797000140883029,30.0,1.0,18.0,-0.007102430362889801
LocStab,Karate Club,AF,Ld,0.25,0.35,0,0.46459109844332386,0.44490358126721763,0.0009306999854743481,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.25,0.35,0,0.09523809523809523,0.2665992016641367,0.0008203000179491937,19.0,1.0,18.0,0.0
LocStab,Karate Club,AF,P,0.25,0.35,0,0.4478950246036085,0.3296883491688687,0.0010272000217810273,17.0,1.0,9.0,0.01487151448879169
LocStab,Karate Club,AE,Ld,0.25,0.35,0,0.09127248500999334,0.2625981522085418,0.0009960000170394778,19.0,1.0,19.0,0.27674046412376635
LocStab,Karate Club,AE,S,0.25,0.35,0,0.06866666666666667,0.20442832780495118,0.0010222999844700098,17.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.25,0.35,0,0.10256410256410256,0.26318847098067877,0.0011384999961592257,32.0,1.0,18.0,-0.007326007326007326
LocStab,Karate Club,B,Ld,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0009348999592475593,9.0,1.0,4.0,0.4751811670087547
LocStab,Karate Club,B,S,0.4,0.4,0,0.44844801389190364,0.25403384494293585,0.0007711999933235347,34.0,1.0,4.0,0.0
LocStab,Karate Club,B,P,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0006814000080339611,16.0,1.0,4.0,-0.01108213820078227
LocStab,Karate Club,AF,Ld,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0006778999813832343,9.0,1.0,4.0,0.4751811670087547
LocStab,Karate Club,AF,S,0.4,0.4,0,0.20936758040146772,0.12809917355371903,0.0007989000296220183,31.0,1.0,3.0,0.0
LocStab,Karate Club,AF,P,0.4,0.4,0,-0.0033783783783783786,-0.0011900076835141024,0.0007143000257201493,17.0,1.0,3.0,0.0035895270270270272
LocStab,Karate Club,AE,Ld,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0008577999542467296,9.0,1.0,4.0,0.4751811670087547
LocStab,Karate Club,AE,S,0.4,0.4,0,0.2266754270696452,0.07227188396019563,0.0010668999748304486,29.0,1.0,5.0,0.0
LocStab,Karate Club,AE,P,0.4,0.4,0,0.727509778357236,0.30092202170124244,0.0010445000370964408,16.0,1.0,4.0,-0.01108213820078227
Louvain,Karate Club,-,-,,,1,0.4292907180385289,0.4400873296977193,0.008840100024826825,,,,
Leiden,Karate Club,-,-,,,1,0.46459109844332386,0.44490358126721763,0.012113299977499992,,,,
LocStab,Karate Club,B,Ld,0.2,0.2,1,0.1328306907639428,0.3027117182961339,0.000889900024048984,14.0,1.0,16.0,0.38182148855819326
LocStab,Karate Club,B,S,0.2,0.2,1,0.09127248500999334,0.2625981522085418,0.0007386999786831439,18.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.2,0.2,1,0.12512479201331114,0.27988605910683834,0.0008570999489165843,27.0,1.0,17.0,0.007986688851913478
LocStab,Karate Club,AF,Ld,0.2,0.2,1,0.46459109844332386,0.44490358126721763,0.0006600000197067857,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.2,0.2,1,0.09900110987791343,0.27238057757538275,0.0008174999966286123,19.0,1.0,18.0,0.0
LocStab,Karate Club,AF,P,0.2,0.2,1,0.4478950246036085,0.30001311819493637,0.0007023999933153391,14.0,1.0,9.0,0.1231273920174959
LocStab,Karate Club,AE,Ld,0.2,0.2,1,0.10256410256410256,0.26318847098067877,0.0008628999930806458,17.0,1.0,18.0,0.30170846964740095
LocStab,Karate Club,AE,S,0.2,0.2,1,0.07243639595600489,0.2234965611588988,0.0007233999785967171,17.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.2,0.2,1,0.08374055975122167,0.2238432563107888,0.0008063999703153968,28.0,1.0,19.0,0.01776988005330964
LocStab,Karate Club,B,Ld,0.25,0.35,1,0.1328306907639428,0.3027117182961339,0.000707699975464493,14.0,1.0,16.0,0.38182148855819326
LocStab,Karate Club,B,S,0.25,0.35,1,0.09127248500999334,0.2625981522085418,0.0008174999966286123,18.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.25,0.35,1,0.12512479201331114,0.27988605910683834,0.0007260999991558492,27.0,1.0,17.0,0.007986688851913478
LocStab,Karate Club,AF,Ld,0.25,0.35,1,0.46459109844332386,0.44490358126721763,0.000853199977427721,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.25,0.35,1,0.09900110987791343,0.27238057757538275,0.0006941999890841544,19.0,1.0,18.0,0.0
LocStab,Karate Club,AF,P,0.25,0.35,1,0.4478950246036085,0.30001311819493637,0.0007099999929778278,14.0,1.0,9.0,0.1231273920174959
LocStab,Karate Club,AE,Ld,0.25,0.35,1,0.10256410256410256,0.26318847098067877,0.0007577000069431961,17.0,1.0,18.0,0.30170846964740095
LocStab,Karate Club,AE,S,0.25,0.35,1,0.07243639595600489,0.2234965611588988,0.0008500000112690032,17.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.25,0.35,1,0.08374055975122167,0.2238432563107888,0.0008378000347875059,28.0,1.0,19.0,0.01776988005330964
LocStab,Karate Club,B,Ld,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.000672499998472631,9.0,1.0,4.0,0.4751811670087547
LocStab,Karate Club,B,S,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0008289999677799642,36.0,1.0,4.0,0.0
LocStab,Karate Club,B,P,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0006687000277452171,17.0,1.0,4.0,-0.01108213820078227
LocStab,Karate Club,AF,Ld,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0008122999570332468,9.0,1.0,4.0,0.4751811670087547
LocStab,Karate Club,AF,S,0.4,0.4,1,0.237200259235256,0.03934521466988993,0.0007359000155702233,30.0,1.0,4.0,0.0
LocStab,Karate Club,AF,P,0.4,0.4,1,0.00042363905952128787,0.011665823354135041,0.0009865000029094517,15.0,1.0,3.0,0.014403728023723788
